gene,signature,cluster
CA13,Primary,G2
CA2,Primary,G2
CA3,Primary,G2
CA8,Primary,G2
CALB1,Primary,G2
CASC8,Primary,G2
CCDC166,Primary,G2
CCNE2,Primary,G2
CDH17,Primary,G2
CHCHD7,Primary,G2
CHD7,Primary,G2
CHMP4C,Primary,G2
CHRAC1,Primary,G2
CLVS1,Primary,G2
CNBD1,Primary,G2
CNGB3,Primary,G2
COL14A1,Primary,G2
COL22A1,Primary,G2
COLEC10,Primary,G2
COMMD5,Primary,G2
COPS5,Primary,G2
COX6C,Primary,G2
CPA6,Primary,G2
CPNE3,Primary,G2
CPQ,Primary,G2
CPSF1,Primary,G2
CRH,Primary,G2
CRISPLD1,Primary,G2
CSMD3,Primary,G2
CSPP1,Primary,G2
CTHRC1,Primary,G2
CYC1,Primary,G2
CYHR1,Primary,G2
CYP11B1,Primary,G2
CYP11B2,Primary,G2
CYP7A1,Primary,G2
CYP7B1,Primary,G2
DCAF13,Primary,G2
DCAF4L2,Primary,G2
DCSTAMP,Primary,G2
DECR1,Primary,G2
DENND3,Primary,G2
DEPTOR,Primary,G2
DERL1,Primary,G2
DGAT1,Primary,G2
DNAJC5B,Primary,G2
DPY19L4,Primary,G2
DPYS,Primary,G2
DSCC1,Primary,G2
E2F5,Primary,G2
EBAG9,Primary,G2
EEF1D,Primary,G2
EFR3A,Primary,G2
EIF3E,Primary,G2
EIF3H,Primary,G2
EMC2,Primary,G2
ENPP2,Primary,G2
ENY2,Primary,G2
EPPK1,Primary,G2
ESRP1,Primary,G2
EXOSC4,Primary,G2
EXT1,Primary,G2
EYA1,Primary,G2
FABP4,Primary,G2
FABP5,Primary,G2
FAM110B,Primary,G2
FAM135B,Primary,G2
FAM49B,Primary,G2
FAM83H,Primary,G2
FAM84B,Primary,G2
FAM91A1,Primary,G2
FBXL6,Primary,G2
FBXO32,Primary,G2
FBXO43,Primary,G2
FER1L6,Primary,G2
FNTA,Primary,G2
FOXH1,Primary,G2
FZD6,Primary,G2
GDAP1,Primary,G2
GDF6,Primary,G2
GEM,Primary,G2
GGH,Primary,G2
GLI4,Primary,G2
GPAA1,Primary,G2
GPIHBP1,Primary,G2
GPR20,Primary,G2
GRHL2,Primary,G2
GRINA,Primary,G2
GSDMD,Primary,G2
HAS2,Primary,G2
HEY1,Primary,G2
HHLA1,Primary,G2
HNF4G,Primary,G2
HPYR1,Primary,G2
HSF1,Primary,G2
IL7,Primary,G2
IMPA1,Primary,G2
IMPAD1,Primary,G2
INTS8,Primary,G2
JPH1,Primary,G2
JRK,Primary,G2
KCNB2,Primary,G2
KCNK9,Primary,G2
KCNQ3,Primary,G2
KCNS2,Primary,G2
KCNV1,Primary,G2
KHDRBS3,Primary,G2
KIFC2,Primary,G2
KLF10,Primary,G2
KLHL38,Primary,G2
LACTB2,Primary,G2
LAPTM4B,Primary,G2
LINC00051,Primary,G2
LINC00964,Primary,G2
LRP12,Primary,G2
LRRC14,Primary,G2
LRRC24,Primary,G2
LRRC6,Primary,G2
LRRC69,Primary,G2
LRRCC1,Primary,G2
LY6E,Primary,G2
LY6K,Primary,G2
LY96,Primary,G2
LYN,Primary,G2
LYNX1,Primary,G2
LYPD2,Primary,G2
LYPLA1,Primary,G2
MAF1,Primary,G2
MAFA,Primary,G2
MAL2,Primary,G2
MAPK15,Primary,G2
MATN2,Primary,G2
MCMDC2,Primary,G2
MED30,Primary,G2
MFSD3,Primary,G2
MMP16,Primary,G2
MROH1,Primary,G2
MROH5,Primary,G2
MROH6,Primary,G2
MRPL13,Primary,G2
MRPL15,Primary,G2
MRPS28,Primary,G2
MSC,Primary,G2
MTBP,Primary,G2
MTDH,Primary,G2
MTFR1,Primary,G2
MTSS1,Primary,G2
MYBL1,Primary,G2
MYC,Primary,G2
NACAP1,Primary,G2
NBN,Primary,G2
NCALD,Primary,G2
NCOA2,Primary,G2
NDRG1,Primary,G2
NDUFAF6,Primary,G2
NDUFB9,Primary,G2
NECAB1,Primary,G2
NIPAL2,Primary,G2
NKAIN3,Primary,G2
NOV,Primary,G2
NPBWR1,Primary,G2
NRBP2,Primary,G2
NSMAF,Primary,G2
NSMCE2,Primary,G2
NUDCD1,Primary,G2
OC90,Primary,G2
ODF1,Primary,G2
OPLAH,Primary,G2
OSGIN2,Primary,G2
OSR2,Primary,G2
OTUD6B,Primary,G2
OXR1,Primary,G2
PABPC1,Primary,G2
PAG1,Primary,G2
PARP10,Primary,G2
PCMTD1,Primary,G2
PDE7A,Primary,G2
PDP1,Primary,G2
PENK,Primary,G2
PEX2,Primary,G2
PHF20L1,Primary,G2
PI15,Primary,G2
PKHD1L1,Primary,G2
PKIA,Primary,G2
PLAG1,Primary,G2
PLEC,Primary,G2
PLEKHF2,Primary,G2
PMP2,Primary,G2
POLR2K,Primary,G2
POP1,Primary,G2
POU5F1B,Primary,G2
PPP1R16A,Primary,G2
PPP1R42,Primary,G2
PRDM14,Primary,G2
PREX2,Primary,G2
PSCA,Primary,G2
PSKH2,Primary,G2
PTDSS1,Primary,G2
PTK2,Primary,G2
PTP4A3,Primary,G2
PUF60,Primary,G2
PVT1,Primary,G2
PXDNL,Primary,G2
RAB2A,Primary,G2
RAD21,Primary,G2
RAD54B,Primary,G2
RALYL,Primary,G2
RB1CC1,Primary,G2
RBM12B,Primary,G2
RDH10,Primary,G2
RECQL4,Primary,G2
RGS20,Primary,G2
RGS22,Primary,G2
RHPN1,Primary,G2
RIMS2,Primary,G2
RIPK2,Primary,G2
RMDN1,Primary,G2
RNF139,Primary,G2
RNF19A,Primary,G2
RP1,Primary,G2
RPL30,Primary,G2
RPL7,Primary,G2
RPL8,Primary,G2
RPS20,Primary,G2
RRM2B,Primary,G2
RRS1,Primary,G2
RSPO2,Primary,G2
RUNX1T1,Primary,G2
SAMD12,Primary,G2
SBSPON,Primary,G2
SCRIB,Primary,G2
SCRT1,Primary,G2
SDC2,Primary,G2
SDCBP,Primary,G2
SDR16C5,Primary,G2
SGK3,Primary,G2
SHARPIN,Primary,G2
SLA,Primary,G2
SLC10A5,Primary,G2
SLC25A32,Primary,G2
SLC26A7,Primary,G2
SLC30A8,Primary,G2
SLC39A4,Primary,G2
SLC45A4,Primary,G2
SLC52A2,Primary,G2
SLCO5A1,Primary,G2
SLURP1,Primary,G2
SNHG6,Primary,G2
SNTB1,Primary,G2
SNX16,Primary,G2
SNX31,Primary,G2
SOX17,Primary,G2
SPAG1,Primary,G2
SPATC1,Primary,G2
SQLE,Primary,G2
ST18,Primary,G2
ST3GAL1,Primary,G2
