gene,signature,cluster
RFC3,Primary,G4
RFXAP,Primary,G4
RGCC,Primary,G4
RNASEH2B,Primary,G4
RNF113B,Primary,G4
RNF17,Primary,G4
RNF219,Primary,G4
RNF6,Primary,G4
RPL21,Primary,G4
SACS,Primary,G4
SAP18,Primary,G4
SCEL,Primary,G4
SERP2,Primary,G4
SERTM1,Primary,G4
SETDB2,Primary,G4
SGCG,Primary,G4
SHISA2,Primary,G4
SIAH3,Primary,G4
SKA3,Primary,G4
SLC15A1,Primary,G4
SLC25A15,Primary,G4
SLC25A30,Primary,G4
SLC46A3,Primary,G4
SLC7A1,Primary,G4
SLITRK1,Primary,G4
SLITRK5,Primary,G4
SMAD9,Primary,G4
SNORD22,Primary,G4
SOHLH2,Primary,G4
SOX1,Primary,G4
SPATA13,Primary,G4
SPERT,Primary,G4
SPRY2,Primary,G4
SPRYD7,Primary,G4
STARD13,Primary,G4
STK24,Primary,G4
SUCLA2,Primary,G4
SUGT1,Primary,G4
SUGT1P3,Primary,G4
SUPT20H,Primary,G4
TBC1D4,Primary,G4
TDRD3,Primary,G4
TEX26,Primary,G4
TEX29,Primary,G4
TEX30,Primary,G4
TFDP1,Primary,G4
TGDS,Primary,G4
THSD1,Primary,G4
TM9SF2,Primary,G4
TMCO3,Primary,G4
TMEM255B,Primary,G4
TMTC4,Primary,G4
TNFRSF19,Primary,G4
TNFSF11,Primary,G4
TPP2,Primary,G4
TPT1,Primary,G4
TPTE2,Primary,G4
TPTE2P1,Primary,G4
TPTE2P6,Primary,G4
TRIM13,Primary,G4
TSC22D1,Primary,G4
TUBGCP3,Primary,G4
UBAC2,Primary,G4
UBL3,Primary,G4
UCHL3,Primary,G4
UFM1,Primary,G4
UGGT2,Primary,G4
UPF3A,Primary,G4
URAD,Primary,G4
USP12,Primary,G4
USPL1,Primary,G4
UTP14C,Primary,G4
VPS36,Primary,G4
VWA8,Primary,G4
WASF3,Primary,G4
WBP4,Primary,G4
WDFY2,Primary,G4
XPO4,Primary,G4
ZAR1L,Primary,G4
ZC3H13,Primary,G4
ZDHHC20,Primary,G4
ZIC2,Primary,G4
ZIC5,Primary,G4
ZMYM2,Primary,G4
ZMYM5,Primary,G4
AAR2,Primary,G5
ABHD16B,Primary,G5
ACOT8,Primary,G5
ACSS2,Primary,G5
ACTL10,Primary,G5
ACTR5,Primary,G5
ADA,Primary,G5
ADNP,Primary,G5
ADRM1,Primary,G5
AHCY,Primary,G5
APCDD1L,Primary,G5
ARFGAP1,Primary,G5
ARFGEF2,Primary,G5
ARFRP1,Primary,G5
ASIP,Primary,G5
ASXL1,Primary,G5
ATP9A,Primary,G5
AURKA,Primary,G5
B4GALT5,Primary,G5
BCAS4,Primary,G5
BCL2L1,Primary,G5
BIRC7,Primary,G5
BLCAP,Primary,G5
BMP7,Primary,G5
BPI,Primary,G5
BPIFA1,Primary,G5
BPIFB2,Primary,G5
C20orf144,Primary,G5
C20orf173,Primary,G5
C20orf203,Primary,G5
C20orf85,Primary,G5
CABLES2,Primary,G5
CBFA2T2,Primary,G5
CCM2L,Primary,G5
CD40,Primary,G5
CDH22,Primary,G5
CDH26,Primary,G5
CDH4,Primary,G5
CDK5RAP1,Primary,G5
CEBPB,Primary,G5
CEP250,Primary,G5
CHD6,Primary,G5
CHMP4B,Primary,G5
CHRNA4,Primary,G5
CNBD2,Primary,G5
COL20A1,Primary,G5
COL9A3,Primary,G5
COMMD7,Primary,G5
COX4I2,Primary,G5
CPNE1,Primary,G5
CSE1L,Primary,G5
CSTF1,Primary,G5
CTCFL,Primary,G5
CTNNBL1,Primary,G5
CTSA,Primary,G5
CTSZ,Primary,G5
CYP24A1,Primary,G5
DBNDD2,Primary,G5
DDX27,Primary,G5
DEFB124,Primary,G5
DHX35,Primary,G5
DIDO1,Primary,G5
DLGAP4,Primary,G5
DNAJC5,Primary,G5
DNMT3B,Primary,G5
DNTTIP1,Primary,G5
DOK5,Primary,G5
DPM1,Primary,G5
DSN1,Primary,G5
DUSP15,Primary,G5
DYNLRB1,Primary,G5
E2F1,Primary,G5
EDEM2,Primary,G5
EDN3,Primary,G5
EIF2S2,Primary,G5
EIF6,Primary,G5
ELMO2,Primary,G5
EMILIN3,Primary,G5
EPB41L1,Primary,G5
EPPIN,Primary,G5
ERGIC3,Primary,G5
EYA2,Primary,G5
FAM209A,Primary,G5
FAM209B,Primary,G5
FAM210B,Primary,G5
FAM217B,Primary,G5
FAM83C,Primary,G5
FAM83D,Primary,G5
FITM2,Primary,G5
FOXS1,Primary,G5
GATA5,Primary,G5
GCNT7,Primary,G5
GDAP1L1,Primary,G5
GDF5,Primary,G5
GGT7,Primary,G5
GID8,Primary,G5
GMEB2,Primary,G5
GNAS,Primary,G5
GSS,Primary,G5
GTSF1L,Primary,G5
HAR1A,Primary,G5
HELZ2,Primary,G5
HM13,Primary,G5
HNF4A,Primary,G5
HRH3,Primary,G5
ID1,Primary,G5
IFT52,Primary,G5
ITCH,Primary,G5
JPH2,Primary,G5
KCNB1,Primary,G5
KCNG1,Primary,G5
KCNK15,Primary,G5
KCNS1,Primary,G5
KIAA1755,Primary,G5
KIF3B,Primary,G5
L3MBTL1,Primary,G5
LAMA5,Primary,G5
LBP,Primary,G5
LIME1,Primary,G5
LINC00494,Primary,G5
LPIN3,Primary,G5
LSM14B,Primary,G5
MANBAL,Primary,G5
MAP1LC3A,Primary,G5
MAPRE1,Primary,G5
MATN4,Primary,G5
MC3R,Primary,G5
MMP24,Primary,G5
MMP9,Primary,G5
MOCS3,Primary,G5
MRGBP,Primary,G5
MROH8,Primary,G5
MTG2,Primary,G5
MYBL2,Primary,G5
MYH7B,Primary,G5
MYL9,Primary,G5
MYLK2,Primary,G5
MYT1,Primary,G5
NCOA3,Primary,G5
NCOA5,Primary,G5
NCOA6,Primary,G5
NDRG3,Primary,G5
NECAB3,Primary,G5
NELFCD,Primary,G5
NEURL2,Primary,G5
NFATC2,Primary,G5
NFS1,Primary,G5
NNAT,Primary,G5
NPBWR2,Primary,G5
NPEPL1,Primary,G5
OCSTAMP,Primary,G5
OGFR,Primary,G5
OPRL1,Primary,G5
OSBPL2,Primary,G5
OSER1,Primary,G5
PABPC1L,Primary,G5
PARD6B,Primary,G5
PCIF1,Primary,G5
PCK1,Primary,G5
PCMTD2,Primary,G5
PDRG1,Primary,G5
PFDN4,Primary,G5
PHACTR3,Primary,G5
PHF20,Primary,G5
PI3,Primary,G5
PIGT,Primary,G5
PIGU,Primary,G5
PKIG,Primary,G5
PLAGL2,Primary,G5
PLCG1,Primary,G5
PLTP,Primary,G5
PMEPA1,Primary,G5
POFUT1,Primary,G5
PPDPF,Primary,G5
PPP1R16B,Primary,G5
PPP1R3D,Primary,G5
PPP4R1L,Primary,G5
PREX1,Primary,G5
PROCR,Primary,G5
PRPF6,Primary,G5
PSMA7,Primary,G5
PTGIS,Primary,G5
PTK6,Primary,G5
PTPN1,Primary,G5
PTPRT,Primary,G5
PXMP4,Primary,G5
R3HDML,Primary,G5
RAB22A,Primary,G5
RAE1,Primary,G5
RALGAPB,Primary,G5
RALY,Primary,G5
RBBP8NL,Primary,G5
RBL1,Primary,G5
RBM12,Primary,G5
RBM38,Primary,G5
RBM39,Primary,G5
RBPJL,Primary,G5
REM1,Primary,G5
RGS19,Primary,G5
RIMS4,Primary,G5
RNF114,Primary,G5
ROMO1,Primary,G5
RPN2,Primary,G5
RPRD1B,Primary,G5
RPS21,Primary,G5
RTEL1,Primary,G5
SALL4,Primary,G5
SAMD10,Primary,G5
SAMHD1,Primary,G5
SCAND1,Primary,G5
SDC4,Primary,G5
SERINC3,Primary,G5
SGK2,Primary,G5
SLC12A5,Primary,G5
SLC13A3,Primary,G5
SLC17A9,Primary,G5
SLC2A10,Primary,G5
SLC2A4RG,Primary,G5
SLC32A1,Primary,G5
SLC35C2,Primary,G5
SLC9A8,Primary,G5
SLCO4A1,Primary,G5
SNAI1,Primary,G5
SNHG11,Primary,G5
SNHG17,Primary,G5
SNORA71A,Primary,G5
SNORA71B,Primary,G5
SNORA71C,Primary,G5
SNORA71D,Primary,G5
SNTA1,Primary,G5
SNX21,Primary,G5
SOGA1,Primary,G5
SOX18,Primary,G5
SPAG4,Primary,G5
SPATA2,Primary,G5
SPATA25,Primary,G5
SPINT4,Primary,G5
SPO11,Primary,G5
SRC,Primary,G5
SRMS,Primary,G5
SRSF6,Primary,G5
SS18L1,Primary,G5
STAU1,Primary,G5
STK4,Primary,G5
STMN3,Primary,G5
STX16,Primary,G5
SULF2,Primary,G5
SYS1,Primary,G5
TAF4,Primary,G5
TCEA2,Primary,G5
TCFL5,Primary,G5
TFAP2C,Primary,G5
TGIF2,Primary,G5
TGM2,Primary,G5
TLDC2,Primary,G5
TM9SF4,Primary,G5
TMEM189,Primary,G5
TNFRSF6B,Primary,G5
TNNC2,Primary,G5
TOMM34,Primary,G5
TOP1,Primary,G5
TP53INP2,Primary,G5
TP53RK,Primary,G5
TP53TG5,Primary,G5
TPD52L2,Primary,G5
TPX2,Primary,G5
TRPC4AP,Primary,G5
TSHZ2,Primary,G5
TSPY26P,Primary,G5
TTI1,Primary,G5
TTLL9,Primary,G5
TTPAL,Primary,G5
TUBB1,Primary,G5
UBE2C,Primary,G5
UBE2V1,Primary,G5
UCKL1,Primary,G5
VAPB,Primary,G5
VSTM2L,Primary,G5
WFDC10A,Primary,G5
WFDC10B,Primary,G5
WFDC11,Primary,G5
WFDC13,Primary,G5
WFDC3,Primary,G5
WFDC9,Primary,G5
WISP2,Primary,G5
YTHDF1,Primary,G5
YWHAB,Primary,G5
ZBP1,Primary,G5
ZFAS1,Primary,G5
ZFP64,Primary,G5
ZGPAT,Primary,G5
ZHX3,Primary,G5
ZMYND8,Primary,G5
ZNF217,Primary,G5
ZNF334,Primary,G5
ZNF335,Primary,G5
ZNF341,Primary,G5
ZNF512B,Primary,G5
ZNF831,Primary,G5
ZNFX1,Primary,G5
ZSWIM1,Primary,G5
ZSWIM3,Primary,G5
