gene,signature,cluster
ZBTB46,Metastatic,G1
ZGPAT,Metastatic,G1
ZHX3,Metastatic,G1
ZMYND8,Metastatic,G1
ZNF217,Metastatic,G1
ZNF334,Metastatic,G1
ZNF335,Metastatic,G1
ZNF341,Metastatic,G1
ZNF512B,Metastatic,G1
ZNF831,Metastatic,G1
ZNFX1,Metastatic,G1
ZSWIM1,Metastatic,G1
ZSWIM3,Metastatic,G1
ABCC4,Metastatic,G2
ABHD13,Metastatic,G2
ADPRHL1,Metastatic,G2
AKAP11,Metastatic,G2
ALG5,Metastatic,G2
ALOX5AP,Metastatic,G2
ANKRD10,Metastatic,G2
ARGLU1,Metastatic,G2
ARHGEF7,Metastatic,G2
ARL11,Metastatic,G2
ATP11A,Metastatic,G2
ATP12A,Metastatic,G2
ATP4B,Metastatic,G2
ATP7B,Metastatic,G2
ATP8A2,Metastatic,G2
B3GALTL,Metastatic,G2
BIVM,Metastatic,G2
BRCA2,Metastatic,G2
C13orf35,Metastatic,G2
CAB39L,Metastatic,G2
CARS2,Metastatic,G2
CCDC122,Metastatic,G2
CCDC70,Metastatic,G2
CCNA1,Metastatic,G2
CDADC1,Metastatic,G2
CDC16,Metastatic,G2
CDK8,Metastatic,G2
CDX2,Metastatic,G2
CENPJ,Metastatic,G2
CKAP2,Metastatic,G2
CLDN10,Metastatic,G2
CLN5,Metastatic,G2
CLYBL,Metastatic,G2
COG3,Metastatic,G2
COG6,Metastatic,G2
COL4A1,Metastatic,G2
COL4A2,Metastatic,G2
COMMD6,Metastatic,G2
CPB2,Metastatic,G2
CRYL1,Metastatic,G2
CSNK1A1L,Metastatic,G2
CUL4A,Metastatic,G2
CYSLTR2,Metastatic,G2
DACH1,Metastatic,G2
DAOA,Metastatic,G2
DCLK1,Metastatic,G2
DCT,Metastatic,G2
DCUN1D2,Metastatic,G2
DGKH,Metastatic,G2
DHRS12,Metastatic,G2
DIAPH3,Metastatic,G2
DIS3,Metastatic,G2
DLEU7,Metastatic,G2
DNAJC15,Metastatic,G2
DNAJC3,Metastatic,G2
DOCK9,Metastatic,G2
DZIP1,Metastatic,G2
EBPL,Metastatic,G2
EDNRB,Metastatic,G2
EFNB2,Metastatic,G2
ELF1,Metastatic,G2
ENOX1,Metastatic,G2
EPSTI1,Metastatic,G2
ERCC5,Metastatic,G2
ESD,Metastatic,G2
EXOSC8,Metastatic,G2
F10,Metastatic,G2
F7,Metastatic,G2
FAM124A,Metastatic,G2
FARP1,Metastatic,G2
FBXL3,Metastatic,G2
FGF14,Metastatic,G2
FGF9,Metastatic,G2
FLT1,Metastatic,G2
FLT3,Metastatic,G2
FNDC3A,Metastatic,G2
FOXO1,Metastatic,G2
FREM2,Metastatic,G2
FRY,Metastatic,G2
GAS6,Metastatic,G2
GJA3,Metastatic,G2
GJB2,Metastatic,G2
GJB6,Metastatic,G2
GPC5,Metastatic,G2
GPC6,Metastatic,G2
GPR12,Metastatic,G2
GPR180,Metastatic,G2
GRK1,Metastatic,G2
GRTP1,Metastatic,G2
GTF2F2,Metastatic,G2
GTF3A,Metastatic,G2
HMGB1,Metastatic,G2
HS6ST3,Metastatic,G2
HSPH1,Metastatic,G2
HTR2A,Metastatic,G2
IFT88,Metastatic,G2
IL17D,Metastatic,G2
ING1,Metastatic,G2
INTS6,Metastatic,G2
IRS2,Metastatic,G2
ITGBL1,Metastatic,G2
ITM2B,Metastatic,G2
KATNAL1,Metastatic,G2
KBTBD6,Metastatic,G2
KBTBD7,Metastatic,G2
KCNRG,Metastatic,G2
KCTD12,Metastatic,G2
KDELC1,Metastatic,G2
KL,Metastatic,G2
KLF12,Metastatic,G2
KLF5,Metastatic,G2
KLHL1,Metastatic,G2
KPNA3,Metastatic,G2
LAMP1,Metastatic,G2
LATS2,Metastatic,G2
LCP1,Metastatic,G2
LECT1,Metastatic,G2
LHFP,Metastatic,G2
LIG4,Metastatic,G2
LMO7,Metastatic,G2
LNX2,Metastatic,G2
LRCH1,Metastatic,G2
MBNL2,Metastatic,G2
MCF2L,Metastatic,G2
MED4,Metastatic,G2
MIPEP,Metastatic,G2
MLNR,Metastatic,G2
MRP63,Metastatic,G2
MRPS31,Metastatic,G2
MTIF3,Metastatic,G2
MTMR6,Metastatic,G2
MTRF1,Metastatic,G2
MYCBP2,Metastatic,G2
MYO16,Metastatic,G2
N4BP2L1,Metastatic,G2
N6AMT2,Metastatic,G2
NALCN,Metastatic,G2
NBEA,Metastatic,G2
NDFIP2,Metastatic,G2
NEK3,Metastatic,G2
NEK5,Metastatic,G2
NHLRC3,Metastatic,G2
NUDT15,Metastatic,G2
NUFIP1,Metastatic,G2
NUPL1,Metastatic,G2
OLFM4,Metastatic,G2
OXGR1,Metastatic,G2
