,0,1,start,end,cor,pvalue
0,0,160,ACOT8,TTPAL,-1.0,0.0
1,119,78,ROMO1,NEURL2,-1.0,0.0
2,119,125,ROMO1,SCAND1,1.0,0.0
3,119,144,ROMO1,STX16,-1.0,0.0
4,119,105,ROMO1,PSMA7,1.0,0.0
5,119,101,ROMO1,PPP1R3D,-1.0,0.0
6,119,119,ROMO1,ROMO1,1.0,0.0
7,119,120,ROMO1,RPN2,1.0,0.0
8,119,84,ROMO1,PARD6B,-1.0,0.0
9,119,83,ROMO1,PABPC1L,-1.0,0.0
10,119,22,ROMO1,CHD6,-1.0,0.0
11,119,68,ROMO1,MAP1LC3A,-1.0,0.0
12,119,103,ROMO1,PROCR,1.0,0.0
13,119,128,ROMO1,SGK2,-1.0,0.0
14,119,111,ROMO1,RAE1,1.0,0.0
15,119,104,ROMO1,PRPF6,1.0,0.0
16,120,113,RPN2,RALY,1.0,0.0
17,120,73,RPN2,NCOA3,-1.0,0.0
18,120,17,RPN2,BPI,-1.0,0.0
19,120,147,RPN2,TAF4,-1.0,0.0
20,120,122,RPN2,RPS21,1.0,0.0
21,120,78,RPN2,NEURL2,-1.0,0.0
22,120,125,RPN2,SCAND1,1.0,0.0
23,120,144,RPN2,STX16,-1.0,0.0
24,119,122,ROMO1,RPS21,1.0,0.0
25,119,147,ROMO1,TAF4,-1.0,0.0
26,119,17,ROMO1,BPI,-1.0,0.0
27,119,73,ROMO1,NCOA3,-1.0,0.0
28,117,169,RBM39,ZFP64,-1.0,0.0
29,117,151,RBM39,TMEM189,-1.0,0.0
30,117,170,RBM39,ZGPAT,-1.0,0.0
31,118,131,RNF114,SLC2A4RG,1.0,0.0
32,118,176,RNF114,ZNFX1,1.0,0.0
33,118,132,RNF114,SLC35C2,1.0,0.0
34,118,159,RNF114,TRPC4AP,1.0,0.0
35,118,138,RNF114,SNX21,1.0,0.0
36,118,142,RNF114,STAU1,1.0,0.0
37,118,118,RNF114,RNF114,1.0,0.0
38,118,170,RNF114,ZGPAT,1.0,0.0
39,120,105,RPN2,PSMA7,1.0,0.0
40,118,98,RNF114,PMEPA1,1.0,0.0
41,118,116,RNF114,RBM38,1.0,0.0
42,118,150,RNF114,TM9SF4,1.0,0.0
43,118,137,RNF114,SNTA1,1.0,0.0
44,118,134,RNF114,SLCO4A1,1.0,0.0
45,118,124,RNF114,SAMD10,1.0,0.0
46,118,151,RNF114,TMEM189,1.0,0.0
47,118,96,RNF114,PLCG1,1.0,0.0
48,118,100,RNF114,PPDPF,1.0,0.0
49,118,106,RNF114,PTK6,1.0,0.0
50,118,97,RNF114,PLTP,1.0,0.0
51,119,113,ROMO1,RALY,1.0,0.0
52,118,108,RNF114,PXMP4,1.0,0.0
53,120,101,RPN2,PPP1R3D,-1.0,0.0
54,120,119,RPN2,ROMO1,1.0,0.0
55,120,120,RPN2,RPN2,1.0,0.0
56,122,113,RPS21,RALY,1.0,0.0
57,122,73,RPS21,NCOA3,-1.0,0.0
58,122,17,RPS21,BPI,-1.0,0.0
59,122,147,RPS21,TAF4,-1.0,0.0
60,122,122,RPS21,RPS21,1.0,0.0
61,122,78,RPS21,NEURL2,-1.0,0.0
62,122,125,RPS21,SCAND1,1.0,0.0
63,122,144,RPS21,STX16,-1.0,0.0
64,122,105,RPS21,PSMA7,1.0,0.0
65,122,101,RPS21,PPP1R3D,-1.0,0.0
66,122,119,RPS21,ROMO1,1.0,0.0
67,121,170,RPRD1B,ZGPAT,-1.0,0.0
68,122,120,RPS21,RPN2,1.0,0.0
69,122,83,RPS21,PABPC1L,-1.0,0.0
70,122,22,RPS21,CHD6,-1.0,0.0
71,122,68,RPS21,MAP1LC3A,-1.0,0.0
72,122,103,RPS21,PROCR,1.0,0.0
73,122,128,RPS21,SGK2,-1.0,0.0
74,122,111,RPS21,RAE1,1.0,0.0
75,122,104,RPS21,PRPF6,1.0,0.0
76,123,150,SALL4,TM9SF4,-1.0,0.0
77,123,96,SALL4,PLCG1,-1.0,0.0
78,123,98,SALL4,PMEPA1,-1.0,0.0
79,123,77,SALL4,NECAB3,-1.0,0.0
80,122,84,RPS21,PARD6B,-1.0,0.0
