,0,1,start,end,cor,pvalue
0,0,0,ABHD12,ABHD12,1.0,0.0
1,89,89,ESCO2,ESCO2,1.0,0.0
2,90,90,ESF1,ESF1,1.0,0.0
3,343,343,TRMT6,TRMT6,1.0,0.0
4,91,91,ESRP1,ESRP1,1.0,0.0
5,92,92,EXOSC4,EXOSC4,1.0,0.0
6,342,342,TRMT12,TRMT12,1.0,0.0
7,341,341,TRIM55,TRIM55,1.0,0.0
8,93,93,EXT1,EXT1,1.0,0.0
9,340,340,TRIB3,TRIB3,1.0,0.0
10,339,339,TRIB1,TRIB1,1.0,0.0
11,94,94,FABP5,FABP5,1.0,0.0
12,95,95,FAM110A,FAM110A,1.0,0.0
13,338,338,TRAPPC9,TRAPPC9,1.0,0.0
14,96,96,FAM110B,FAM110B,1.0,0.0
15,97,97,FAM135B,FAM135B,1.0,0.0
16,337,337,TRAM1,TRAM1,1.0,0.0
17,98,98,FAM49B,FAM49B,1.0,0.0
18,99,99,FAM66D,FAM66D,1.0,0.0
19,336,336,TPD52,TPD52,1.0,0.0
20,88,88,ERI1,ERI1,1.0,0.0
21,344,344,TSNARE1,TSNARE1,1.0,0.0
22,87,87,EPPK1,EPPK1,1.0,0.0
23,345,345,TSTA3,TSTA3,1.0,0.0
24,73,73,DSTN,DSTN,1.0,0.0
25,74,74,DTD1,DTD1,1.0,0.0
26,351,351,UBR5,UBR5,1.0,0.0
27,75,75,E2F5,E2F5,1.0,0.0
28,76,76,EBAG9,EBAG9,1.0,0.0
29,77,77,EBF4,EBF4,1.0,0.0
30,350,350,UBOX5,UBOX5,1.0,0.0
31,78,78,EEF1D,EEF1D,1.0,0.0
32,79,79,EFR3A,EFR3A,1.0,0.0
33,335,335,TOX,TOX,1.0,0.0
34,80,80,EIF3E,EIF3E,1.0,0.0
35,82,82,ELP3,ELP3,1.0,0.0
36,83,83,ENPP2,ENPP2,1.0,0.0
37,349,349,UBE2W,UBE2W,1.0,0.0
38,84,84,ENTPD6,ENTPD6,1.0,0.0
39,348,348,UBE2V2,UBE2V2,1.0,0.0
40,347,347,TUSC3,TUSC3,1.0,0.0
41,85,85,ENY2,ENY2,1.0,0.0
42,86,86,EPHX2,EPHX2,1.0,0.0
43,346,346,TTPA,TTPA,1.0,0.0
44,81,81,EIF3H,EIF3H,1.0,0.0
45,72,72,DSCC1,DSCC1,1.0,0.0
46,100,100,FAM83H,FAM83H,1.0,0.0
47,102,102,FAM91A1,FAM91A1,1.0,0.0
48,322,322,TERF1,TERF1,1.0,0.0
49,115,115,FZD6,FZD6,1.0,0.0
50,116,116,GDAP1,GDAP1,1.0,0.0
51,321,321,TCF15,TCF15,1.0,0.0
52,117,117,GEM,GEM,1.0,0.0
53,320,320,TBC1D20,TBC1D20,1.0,0.0
54,118,118,GGH,GGH,1.0,0.0
55,319,319,TATDN1,TATDN1,1.0,0.0
56,119,119,GINS1,GINS1,1.0,0.0
57,120,120,GLI4,GLI4,1.0,0.0
58,318,318,TASP1,TASP1,1.0,0.0
59,121,121,GNRH2,GNRH2,1.0,0.0
60,317,317,TAF2,TAF2,1.0,0.0
61,122,122,GPAA1,GPAA1,1.0,0.0
62,123,123,GPCPD1,GPCPD1,1.0,0.0
63,316,316,SYBU,SYBU,1.0,0.0
64,124,124,GPIHBP1,GPIHBP1,1.0,0.0
65,315,315,SULF1,SULF1,1.0,0.0
66,125,125,GPR20,GPR20,1.0,0.0
67,114,114,FZD3,FZD3,1.0,0.0
68,323,323,TGM3,TGM3,1.0,0.0
69,324,324,TGS1,TGS1,1.0,0.0
70,113,113,FOXH1,FOXH1,1.0,0.0
71,103,103,FASTKD5,FASTKD5,1.0,0.0
72,334,334,TOP1MT,TOP1MT,1.0,0.0
73,333,333,TNFRSF11B,TNFRSF11B,1.0,0.0
74,332,332,TMEM71,TMEM71,1.0,0.0
75,104,104,FBXL6,FBXL6,1.0,0.0
76,105,105,FBXO16,FBXO16,1.0,0.0
77,331,331,TMEM70,TMEM70,1.0,0.0
78,106,106,FBXO25,FBXO25,1.0,0.0
79,107,107,FDFT1,FDFT1,1.0,0.0
80,101,101,FAM84B,FAM84B,1.0,0.0
81,330,330,TMEM68,TMEM68,1.0,0.0
82,109,109,FERMT1,FERMT1,1.0,0.0
83,329,329,TMEM67,TMEM67,1.0,0.0
84,328,328,TMEM65,TMEM65,1.0,0.0
85,327,327,TMEM64,TMEM64,1.0,0.0
86,110,110,FKBP1A,FKBP1A,1.0,0.0
87,111,111,FLRT3,FLRT3,1.0,0.0
88,326,326,TIGD5,TIGD5,1.0,0.0
89,325,325,THBD,THBD,1.0,0.0
90,112,112,FNTA,FNTA,1.0,0.0
91,108,108,FER1L6,FER1L6,1.0,0.0
92,71,71,DPY19L4,DPY19L4,1.0,0.0
93,352,352,UBXN2B,UBXN2B,1.0,0.0
94,70,70,DGAT1,DGAT1,1.0,0.0
95,25,25,C20orf27,C20orf27,1.0,0.0
96,26,26,C20orf96,C20orf96,1.0,0.0
97,374,374,ZFP41,ZFP41,1.0,0.0
98,27,27,C8orf33,C8orf33,1.0,0.0
99,28,28,C8orf34,C8orf34,1.0,0.0
