,0,1,start,end,cor,pvalue
0,0,0,ABCC4,ABCC4,1.0,0.0
1,216,216,TPP2,TPP2,1.0,0.0
2,125,125,MLNR,MLNR,1.0,0.0
3,13,13,ATP7B,ATP7B,1.0,0.0
4,124,124,MIR17HG,MIR17HG,1.0,0.0
5,123,123,MIPEP,MIPEP,1.0,0.0
6,44,44,DCUN1D2,DCUN1D2,1.0,0.0
7,122,122,MED4,MED4,1.0,0.0
8,217,217,TPT1,TPT1,1.0,0.0
9,121,121,MCF2L,MCF2L,1.0,0.0
10,215,215,TNFSF11,TNFSF11,1.0,0.0
11,218,218,TPTE2,TPTE2,1.0,0.0
12,220,220,TRIM13,TRIM13,1.0,0.0
13,12,12,ATP4B,ATP4B,1.0,0.0
14,119,119,MAB21L1,MAB21L1,1.0,0.0
15,118,118,LRCH1,LRCH1,1.0,0.0
16,45,45,DGKH,DGKH,1.0,0.0
17,117,117,LPAR6,LPAR6,1.0,0.0
18,221,221,TSC22D1,TSC22D1,1.0,0.0
19,222,222,TUBGCP3,TUBGCP3,1.0,0.0
20,116,116,LNX2,LNX2,1.0,0.0
21,219,219,TPTE2P1,TPTE2P1,1.0,0.0
22,115,115,LMO7,LMO7,1.0,0.0
23,214,214,TNFRSF19,TNFRSF19,1.0,0.0
24,213,213,TMTC4,TMTC4,1.0,0.0
25,136,136,NAA16,NAA16,1.0,0.0
26,39,39,CSNK1A1L,CSNK1A1L,1.0,0.0
27,135,135,N4BP2L2,N4BP2L2,1.0,0.0
28,134,134,N4BP2L1,N4BP2L1,1.0,0.0
29,133,133,MYO16,MYO16,1.0,0.0
30,132,132,MYCBP2,MYCBP2,1.0,0.0
31,131,131,MTUS2,MTUS2,1.0,0.0
32,130,130,MTRF1,MTRF1,1.0,0.0
33,40,40,CUL4A,CUL4A,1.0,0.0
34,43,43,DCT,DCT,1.0,0.0
35,41,41,DACH1,DACH1,1.0,0.0
36,129,129,MTMR6,MTMR6,1.0,0.0
37,128,128,MTIF3,MTIF3,1.0,0.0
38,42,42,DCLK1,DCLK1,1.0,0.0
39,210,210,THSD1,THSD1,1.0,0.0
40,211,211,TM9SF2,TM9SF2,1.0,0.0
41,127,127,MRPS31,MRPS31,1.0,0.0
42,126,126,MPHOSPH8,MPHOSPH8,1.0,0.0
43,14,14,ATP8A2,ATP8A2,1.0,0.0
44,212,212,TMCO3,TMCO3,1.0,0.0
45,15,15,BIVM,BIVM,1.0,0.0
46,137,137,NALCN,NALCN,1.0,0.0
47,223,223,UBAC2,UBAC2,1.0,0.0
48,113,113,LATS2,LATS2,1.0,0.0
49,102,102,KATNAL1,KATNAL1,1.0,0.0
50,230,230,USPL1,USPL1,1.0,0.0
51,101,101,ITM2B,ITM2B,1.0,0.0
52,50,50,DLEU2,DLEU2,1.0,0.0
53,100,100,ITGBL1,ITGBL1,1.0,0.0
54,99,99,IRS2,IRS2,1.0,0.0
55,98,98,IPO5,IPO5,1.0,0.0
56,7,7,ARGLU1,ARGLU1,1.0,0.0
57,51,51,DLEU7,DLEU7,1.0,0.0
58,229,229,USP12,USP12,1.0,0.0
59,97,97,INTS6,INTS6,1.0,0.0
60,96,96,ING1,ING1,1.0,0.0
61,95,95,IL17D,IL17D,1.0,0.0
62,94,94,IFT88,IFT88,1.0,0.0
63,93,93,HSPH1,HSPH1,1.0,0.0
64,92,92,HS6ST3,HS6ST3,1.0,0.0
65,52,52,DNAJC15,DNAJC15,1.0,0.0
66,91,91,HMGB1,HMGB1,1.0,0.0
67,90,90,GUCY1B2,GUCY1B2,1.0,0.0
68,89,89,GTF3A,GTF3A,1.0,0.0
69,231,231,UTP14C,UTP14C,1.0,0.0
70,114,114,LIG4,LIG4,1.0,0.0
71,103,103,KBTBD6,KBTBD6,1.0,0.0
72,228,228,UPF3A,UPF3A,1.0,0.0
73,46,46,DHRS12,DHRS12,1.0,0.0
74,112,112,LAMP1,LAMP1,1.0,0.0
75,11,11,ATP12A,ATP12A,1.0,0.0
76,224,224,UBL3,UBL3,1.0,0.0
77,47,47,DIAPH3,DIAPH3,1.0,0.0
78,225,225,UCHL3,UCHL3,1.0,0.0
79,111,111,KPNA3,KPNA3,1.0,0.0
80,226,226,UFM1,UFM1,1.0,0.0
81,10,10,ATP11A,ATP11A,1.0,0.0
82,104,104,KBTBD7,KBTBD7,1.0,0.0
83,110,110,KLHL1,KLHL1,1.0,0.0
84,108,108,KLF12,KLF12,1.0,0.0
85,107,107,KL,KL,1.0,0.0
86,106,106,KDELC1,KDELC1,1.0,0.0
87,105,105,KCNRG,KCNRG,1.0,0.0
88,48,48,DIS3,DIS3,1.0,0.0
89,227,227,UGGT2,UGGT2,1.0,0.0
90,9,9,ARL11,ARL11,1.0,0.0
91,49,49,DLEU1,DLEU1,1.0,0.0
92,8,8,ARHGEF7,ARHGEF7,1.0,0.0
93,109,109,KLF5,KLF5,1.0,0.0
94,88,88,GTF2F2,GTF2F2,1.0,0.0
95,16,16,BRCA2,BRCA2,1.0,0.0
96,139,139,NDFIP2,NDFIP2,1.0,0.0
97,157,157,PIBF1,PIBF1,1.0,0.0
98,156,156,PHF11,PHF11,1.0,0.0
99,155,155,PDX1,PDX1,1.0,0.0
100,176,176,RNF219,RNF219,1.0,0.0
101,29,29,CKAP2,CKAP2,1.0,0.0
102,22,22,CCDC70,CCDC70,1.0,0.0
103,30,30,CLDN10,CLDN10,1.0,0.0
104,154,154,PDS5B,PDS5B,1.0,0.0
105,153,153,PCID2,PCID2,1.0,0.0
106,23,23,CCNA1,CCNA1,1.0,0.0
107,152,152,PCDH9,PCDH9,1.0,0.0
108,178,178,RPL21,RPL21,1.0,0.0
109,31,31,CLN5,CLN5,1.0,0.0
110,179,179,SACS,SACS,1.0,0.0
111,180,180,SAP18,SAP18,1.0,0.0
