,0,1,start,end,cor,pvalue
0,0,0,ABCB5,ABCB5,1.0,0.0
1,50,50,CRLS1,CRLS1,1.0,0.0
2,212,212,SIRPB1,SIRPB1,1.0,0.0
3,49,49,CRHR2,CRHR2,1.0,0.0
4,213,213,SIRPB2,SIRPB2,1.0,0.0
5,214,214,SKAP2,SKAP2,1.0,0.0
6,48,48,CREB5,CREB5,1.0,0.0
7,215,215,SLC23A2,SLC23A2,1.0,0.0
8,216,216,SLC24A3,SLC24A3,1.0,0.0
9,47,47,CPXM1,CPXM1,1.0,0.0
10,217,217,SLC29A4,SLC29A4,1.0,0.0
11,218,218,SLC4A11,SLC4A11,1.0,0.0
12,219,219,SMOX,SMOX,1.0,0.0
13,220,220,SNAP25,SNAP25,1.0,0.0
14,51,51,CRNKL1,CRNKL1,1.0,0.0
15,221,221,SNORD17,SNORD17,1.0,0.0
16,46,46,CPVL,CPVL,1.0,0.0
17,45,45,COX19,COX19,1.0,0.0
18,223,223,SNRPB2,SNRPB2,1.0,0.0
19,44,44,COL28A1,COL28A1,1.0,0.0
20,224,224,SNX10,SNX10,1.0,0.0
21,43,43,CHST12,CHST12,1.0,0.0
22,225,225,SNX13,SNX13,1.0,0.0
23,42,42,CHN2,CHN2,1.0,0.0
24,226,226,SNX5,SNX5,1.0,0.0
25,41,41,CHGB,CHGB,1.0,0.0
26,40,40,CENPB,CENPB,1.0,0.0
27,227,227,SNX8,SNX8,1.0,0.0
28,228,228,SOSTDC1,SOSTDC1,1.0,0.0
29,222,222,SNRPB,SNRPB,1.0,0.0
30,229,229,SOX12,SOX12,1.0,0.0
31,52,52,CSNK2A1,CSNK2A1,1.0,0.0
32,211,211,SIRPA,SIRPA,1.0,0.0
33,65,65,DDRGK1,DDRGK1,1.0,0.0
34,195,195,RBBP9,RBBP9,1.0,0.0
35,64,64,DAGLB,DAGLB,1.0,0.0
36,196,196,RBCK1,RBCK1,1.0,0.0
37,63,63,CYTH3,CYTH3,1.0,0.0
38,197,197,RIN2,RIN2,1.0,0.0
39,198,198,RNF216,RNF216,1.0,0.0
40,62,62,CYP2W1,CYP2W1,1.0,0.0
41,61,61,CYCS,CYCS,1.0,0.0
42,199,199,RNF24,RNF24,1.0,0.0
43,200,200,RP9,RP9,1.0,0.0
44,60,60,CSTL1,CSTL1,1.0,0.0
45,59,59,CST9,CST9,1.0,0.0
46,53,53,CST1,CST1,1.0,0.0
47,201,201,RP9P,RP9P,1.0,0.0
48,202,202,RPA3,RPA3,1.0,0.0
49,203,203,RRBP1,RRBP1,1.0,0.0
50,204,204,RSPO4,RSPO4,1.0,0.0
51,57,57,CST4,CST4,1.0,0.0
52,205,205,SCIN,SCIN,1.0,0.0
53,206,206,SCRN1,SCRN1,1.0,0.0
54,207,207,SDCBP2,SDCBP2,1.0,0.0
55,208,208,SDK1,SDK1,1.0,0.0
56,209,209,SEC23B,SEC23B,1.0,0.0
57,56,56,CST3,CST3,1.0,0.0
58,55,55,CST2,CST2,1.0,0.0
59,54,54,CST11,CST11,1.0,0.0
60,210,210,SIGLEC1,SIGLEC1,1.0,0.0
61,58,58,CST5,CST5,1.0,0.0
62,66,66,DEFB126,DEFB126,1.0,0.0
63,230,230,SP4,SP4,1.0,0.0
64,231,231,SP8,SP8,1.0,0.0
65,23,23,BTBD3,BTBD3,1.0,0.0
66,249,249,TMX4,TMX4,1.0,0.0
67,22,22,BMPER,BMPER,1.0,0.0
68,250,250,TNRC18,TNRC18,1.0,0.0
69,251,251,TOMM7,TOMM7,1.0,0.0
70,21,21,BMP2,BMP2,1.0,0.0
71,252,252,TRA2A,TRA2A,1.0,0.0
72,253,253,TRIB3,TRIB3,1.0,0.0
73,20,20,BFSP1,BFSP1,1.0,0.0
74,254,254,TRMT6,TRMT6,1.0,0.0
75,19,19,BBS9,BBS9,1.0,0.0
76,255,255,TTYH3,TTYH3,1.0,0.0
77,18,18,BANF2,BANF2,1.0,0.0
78,248,248,TMEM196,TMEM196,1.0,0.0
79,256,256,TWIST1,TWIST1,1.0,0.0
80,16,16,ATRN,ATRN,1.0,0.0
81,15,15,ARL4A,ARL4A,1.0,0.0
82,257,257,TWISTNB,TWISTNB,1.0,0.0
83,14,14,AQP1,AQP1,1.0,0.0
84,258,258,UBOX5,UBOX5,1.0,0.0
85,13,13,ANKMY2,ANKMY2,1.0,0.0
86,12,12,ANGPT4,ANGPT4,1.0,0.0
87,259,259,USP42,USP42,1.0,0.0
88,11,11,AMZ1,AMZ1,1.0,0.0
89,260,260,VPS16,VPS16,1.0,0.0
90,10,10,AMPH,AMPH,1.0,0.0
91,261,261,VSX1,VSX1,1.0,0.0
92,9,9,AIMP2,AIMP2,1.0,0.0
93,17,17,AVL9,AVL9,1.0,0.0
94,39,39,CDS2,CDS2,1.0,0.0
95,247,247,TMEM184A,TMEM184A,1.0,0.0
96,25,25,C1GALT1,C1GALT1,1.0,0.0
97,232,232,SPEF1,SPEF1,1.0,0.0
98,233,233,SPTLC3,SPTLC3,1.0,0.0
99,234,234,SRXN1,SRXN1,1.0,0.0
100,38,38,CDCA7L,CDCA7L,1.0,0.0
