,0,1,start,end,cor,pvalue
0,0,0,ADAM28,ADAM28,1.0,0.0
1,22,22,CDCA2,CDCA2,1.0,0.0
2,124,124,PHLPP1,PHLPP1,1.0,0.0
3,73,73,FGF17,FGF17,1.0,0.0
4,101,101,MEX3C,MEX3C,1.0,0.0
5,165,165,SORBS3,SORBS3,1.0,0.0
6,74,74,FGF20,FGF20,1.0,0.0
7,21,21,CD226,CD226,1.0,0.0
8,164,164,SOCS6,SOCS6,1.0,0.0
9,166,166,SOX7,SOX7,1.0,0.0
10,100,100,MCPH1,MCPH1,1.0,0.0
11,150,150,RTTN,RTTN,1.0,0.0
12,75,75,FGL1,FGL1,1.0,0.0
13,163,163,SMAD7,SMAD7,1.0,0.0
14,76,76,FZD3,FZD3,1.0,0.0
15,19,19,CCDC25,CCDC25,1.0,0.0
16,162,162,SLC7A2,SLC7A2,1.0,0.0
17,77,77,GATA4,GATA4,1.0,0.0
18,161,161,SLC39A14,SLC39A14,1.0,0.0
19,20,20,CCDC68,CCDC68,1.0,0.0
20,23,23,CDH19,CDH19,1.0,0.0
21,71,71,FDFT1,FDFT1,1.0,0.0
22,167,167,ST8SIA5,ST8SIA5,1.0,0.0
23,28,28,CNDP2,CNDP2,1.0,0.0
24,171,171,TDH,TDH,1.0,0.0
25,67,67,FAM86B2,FAM86B2,1.0,0.0
26,122,122,PDGFRL,PDGFRL,1.0,0.0
27,27,27,CLU,CLU,1.0,0.0
28,68,68,FBXO15,FBXO15,1.0,0.0
29,170,170,TCF4,TCF4,1.0,0.0
30,26,26,CLN8,CLN8,1.0,0.0
31,193,193,ZNF24,ZNF24,1.0,0.0
32,169,169,STMN4,STMN4,1.0,0.0
33,103,103,MRO,MRO,1.0,0.0
34,123,123,PDLIM2,PDLIM2,1.0,0.0
35,149,149,RPL23AP53,RPL23AP53,1.0,0.0
36,69,69,FBXO16,FBXO16,1.0,0.0
37,25,25,CHMP7,CHMP7,1.0,0.0
38,70,70,FBXO25,FBXO25,1.0,0.0
39,102,102,MFHAS1,MFHAS1,1.0,0.0
40,24,24,CDH2,CDH2,1.0,0.0
41,168,168,STC1,STC1,1.0,0.0
42,18,18,CCDC102B,CCDC102B,1.0,0.0
43,192,192,ZNF236,ZNF236,1.0,0.0
44,194,194,ZNF395,ZNF395,1.0,0.0
45,134,134,PPP3CC,PPP3CC,1.0,0.0
46,12,12,C18orf21,C18orf21,1.0,0.0
47,84,84,INTS10,INTS10,1.0,0.0
48,11,11,BMP1,BMP1,1.0,0.0
49,126,126,PIK3C3,PIK3C3,1.0,0.0
50,197,197,ZNF407,ZNF407,1.0,0.0
51,85,85,INTS9,INTS9,1.0,0.0
52,10,10,BIN3,BIN3,1.0,0.0
53,86,86,KBTBD11,KBTBD11,1.0,0.0
54,97,97,MAPRE2,MAPRE2,1.0,0.0
55,154,154,SETBP1,SETBP1,1.0,0.0
56,127,127,PINX1,PINX1,1.0,0.0
57,96,96,LZTS1,LZTS1,1.0,0.0
58,87,87,KCTD9,KCTD9,1.0,0.0
59,8,8,ATP6V1B2,ATP6V1B2,1.0,0.0
60,88,88,KDSR,KDSR,1.0,0.0
61,198,198,ZNF516,ZNF516,1.0,0.0
62,89,89,KIAA1468,KIAA1468,1.0,0.0
63,7,7,ASAH1,ASAH1,1.0,0.0
64,9,9,ATP8B1,ATP8B1,1.0,0.0
65,83,83,INO80C,INO80C,1.0,0.0
66,155,155,SFTPC,SFTPC,1.0,0.0
67,156,156,SGCZ,SGCZ,1.0,0.0
68,195,195,ZNF396,ZNF396,1.0,0.0
69,159,159,SLC18A1,SLC18A1,1.0,0.0
70,125,125,PHYHIP,PHYHIP,1.0,0.0
71,17,17,C8orf74,C8orf74,1.0,0.0
72,196,196,ZNF397,ZNF397,1.0,0.0
73,99,99,MC4R,MC4R,1.0,0.0
74,78,78,GFRA2,GFRA2,1.0,0.0
75,79,79,GNRH1,GNRH1,1.0,0.0
76,16,16,C8orf58,C8orf58,1.0,0.0
77,158,158,SKA1,SKA1,1.0,0.0
78,80,80,HDHD2,HDHD2,1.0,0.0
79,98,98,MBD1,MBD1,1.0,0.0
80,151,151,SCARA3,SCARA3,1.0,0.0
